,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,490.0,78.4,0.0,0.0,568.4,568.4
1,345.0,55.2,0.0,0.0,400.2,400.2
2,3447.41,551.59,0.0,0.0,3999.0,3999.0
3,5551.38,888.22,0.0,0.0,6439.6,6439.6
4,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,599.0
8,0.0,0.0,0.0,0.0,0.0,335.37
9,0.0,0.0,0.0,0.0,0.0,495.64
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,360.0,57.6,0.0,0.0,417.6,417.6
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,148.36,23.74,0.0,0.0,172.10000000000002,172.1
24,2397.5,383.6,0.0,0.0,2781.1,2781.1
25,2132.17,395.17,0.0,0.0,2527.34,2527.34
26,463.55,85.46,0.0,0.0,549.01,549.01
27,0.0,0.0,0.0,0.0,0.0,0.0
28,7517.26,1202.76,0.0,0.0,8720.02,8720.02
29,338.0,54.08,0.0,0.0,392.08,392.08
30,0.0,0.0,0.0,0.0,0.0,605.65
31,0.0,0.0,0.0,0.0,0.0,198.0
32,8945.78,1431.32,0.0,0.0,10377.1,10377.1
33,343.97,55.03,0.0,0.0,399.0,399.0
34,38.8,6.21,0.0,0.0,45.01,45.01
35,1700.0,272.0,0.0,0.0,1972.0,1972.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,3940.0,630.4,0.0,0.0,4570.4,4570.4
39,16170.0,2587.2,0.0,0.0,18757.2,18757.2
40,0.0,0.0,0.0,0.0,0.0,0.0
41,145.26,23.24,0.0,0.0,168.5,168.5
42,1340.0,214.4,0.0,0.0,1554.4,1554.4
43,7800.0,1248.0,0.0,0.0,9048.0,9048.0
44,1200.0,192.0,0.0,0.0,1392.0,1392.0
45,9100.0,1456.0,0.0,0.0,10556.0,10556.0
46,1600.0,256.0,0.0,0.0,1856.0,1856.0
47,8290.0,1326.4,0.0,0.0,9616.4,9616.4
48,480.0,76.8,0.0,0.0,556.8,556.8
49,1919.5,307.12,0.0,0.0,2226.62,2226.62
50,1207.46,193.19,0.0,0.0,1400.65,1400.65
51,2204.84,352.77,0.0,0.0,2557.61,2557.61
52,8146.2,1303.39,0.0,488.77,8960.82,8960.82
53,17015.79,2722.53,0.0,1020.95,18717.37,18717.37
54,740.0,118.4,0.0,0.0,858.4,858.4
55,580.0,92.8,0.0,0.0,672.8,672.8
56,0.0,0.0,0.0,0.0,0.0,0.0
57,331.54,53.05,0.0,0.0,384.59000000000003,384.59
58,15.09,2.41,0.0,0.0,17.5,17.5
59,14230.76,2276.92,0.0,853.85,15653.83,15653.83
60,10412.66,1666.03,0.0,0.0,12078.69,12078.69
61,1800.0,288.0,0.0,0.0,2088.0,2088.0
62,1304.22,208.68,0.0,0.0,1512.9,1512.9
63,432.85,67.15,0.0,0.0,500.0,500.0
64,5000.0,800.0,500.0,533.34,4766.66,4766.66
65,250.0,40.0,0.0,0.0,290.0,290.0
66,465.82,74.53,0.0,0.0,540.35,540.35
67,1311.75,209.88,0.0,0.0,1521.63,1521.63
68,230.0,36.8,0.0,0.0,266.8,266.8
69,0.0,0.0,0.0,0.0,0.0,0.0
70,111.0,0.0,0.0,0.0,111.0,111.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,390.0,62.4,0.0,15.6,436.79999999999995,436.8
73,946.0,151.36,0.0,0.0,1097.3600000000001,1097.36
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,639.19
76,0.0,0.0,0.0,0.0,0.0,0.0
77,14508.64,2321.38,0.0,0.0,16830.02,16830.02
78,14708.64,2353.38,0.0,0.0,17062.02,17062.02
79,0.0,0.0,0.0,0.0,0.0,1353.5
80,19539.6,86.34,0.0,0.0,19625.94,19625.94
81,650.0,104.0,0.0,0.0,754.0,754.0
82,382.79,61.25,0.0,0.0,444.04,444.04
83,9096.3,1455.41,0.0,0.0,10551.71,10551.71
84,0.0,0.0,0.0,0.0,0.0,0.0
