,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,,2248.28,0.0,0.0,2248.28,16300.0
1,,78.4,0.0,0.0,568.4,568.4
2,,31.2,0.0,0.0,226.2,226.2
3,,1711.08,0.0,0.0,12405.33,12405.33
4,,384.9,0.0,0.0,0.0,0.0
5,,384.9,0.0,0.0,0.0,0.0
6,,384.9,0.0,0.0,2849.4,2983.6
7,,1379.31,0.0,0.0,10000.0,10000.0
8,,699.48,0.0,0.0,0.01,0.0
9,,699.48,0.0,0.0,0.0,0.0
10,,699.48,0.0,0.0,5071.200000000001,5071.2
11,,25.52,0.0,0.0,185.0,185.0
12,,76.8,0.0,0.0,556.8,556.8
13,,400.0,0.0,0.0,2900.0,2900.0
14,,14.15,0.0,0.0,102.59,102.59
15,,855.16,0.0,0.0,6199.92,6199.92
16,,824.35,0.0,0.0,5976.52,5976.52
17,,0.0,0.0,0.0,0.0,1771.95
18,,0.0,0.0,0.0,0.0,538.0
19,,0.0,0.0,0.0,0.0,660.4
20,,124.37,0.0,0.0,798.99,798.99
21,,146.57,0.0,0.0,899.0,899.0
22,,124.37,0.0,0.0,798.99,798.99
23,,124.37,0.0,0.0,798.99,798.99
24,,396.0,0.0,0.0,3146.0,2871.0
25,,40.96,0.0,0.0,296.96,296.96
26,,45.12,0.0,0.0,327.12,327.12
27,,476.55,0.0,0.0,12390.22,12390.22
28,,80.0,0.0,0.0,580.0,580.0
29,,672.0,0.0,0.0,0.0,0.0
30,,672.0,0.0,0.0,0.0,0.0
31,,672.0,0.0,0.0,4872.0,4872.0
32,,0.0,0.0,0.0,0.0,0.0
33,,0.0,0.0,0.0,0.0,0.0
34,,0.0,0.0,0.0,0.01,0.0
35,,0.0,0.0,0.0,105.0,105.0
36,,56.0,0.0,0.0,406.0,406.0
37,,28.44,0.0,0.0,206.22,206.22
38,,8.27,0.0,0.0,59.97,59.97
39,,561.6,0.0,0.0,4461.6,4071.6
40,,96.0,0.0,0.0,696.0,696.0
41,,82.66,0.0,0.0,599.26,599.26
42,,1321.6,0.0,0.0,9581.6,9581.6
43,,23.88,0.0,0.0,173.1,173.1
44,,38.57,0.0,0.0,236.57,236.57
45,,224.0,0.0,0.0,1624.0,1624.0
46,,484.12,0.0,0.0,3509.87,3509.87
47,,1538.24,0.0,0.0,11152.24,11152.24
48,,57.6,0.0,0.0,417.6,417.6
49,,182.26,0.0,0.0,1321.3799999999999,1321.38
50,,175.44,0.0,0.0,1300.39,1300.39
51,,1584.0,0.0,0.0,11484.0,11484.0
52,,320.0,0.0,0.0,2320.0,2320.0
53,,269.92,0.0,0.0,1956.92,1956.92
54,,1379.31,0.0,0.0,10000.0,10000.0
55,,32.35,0.0,0.0,0.0,0.0
56,,32.35,0.0,0.0,234.54999999999998,234.55
57,,13.66,0.0,0.0,99.0,99.0
58,,15.5,0.0,0.0,112.33,112.33
59,,384.9,0.0,0.0,0.0,0.0
60,,384.9,0.0,0.0,0.0,0.0
61,,384.9,0.0,0.0,2849.4,2983.6
62,,685.87,0.0,0.0,4972.58,4972.58
63,,328.16,0.0,0.0,2379.1099999999997,2379.11
64,,300.16,0.0,0.0,2176.16,2176.16
65,,300.16,0.0,0.0,2176.16,2176.16
66,,144.0,0.0,0.0,1044.0,1044.0
67,,0.0,0.0,0.0,0.0,0.0
68,,0.0,0.0,0.0,105.0,105.0
69,,56.16,0.0,0.0,407.15999999999997,407.16
70,,1960.0,0.0,0.0,14210.0,14210.0
71,,134.07,0.0,0.0,972.02,972.02
72,,50.12,0.0,0.0,363.38,363.38
73,,444.0,0.0,0.0,3219.0,3219.0
74,,136.8,0.0,0.0,991.8,991.8
75,,52.2,0.0,0.0,378.45,378.45
76,,312.8,0.0,0.0,2267.8,2267.8
77,,112.39,0.0,0.0,833.13,833.13
78,,0.0,0.0,0.0,0.0,1069.5
79,,136.8,0.0,0.0,0.0,0.0
80,,136.8,0.0,0.0,1086.8,991.8
81,,403.84,0.0,0.0,0.0,0.0
82,,403.84,0.0,0.0,2927.84,2927.84
83,,13.72,0.0,0.0,99.5,99.5
84,,1532.16,0.0,0.0,0.0,0.0
85,,1532.16,0.0,0.0,11108.16,11108.16
86,,444.72,0.0,0.0,3224.2200000000003,3224.22
87,,16.97,0.0,0.0,0.0,0.0
88,,16.97,0.0,0.0,0.0,0.0
89,,16.97,0.0,0.0,0.0,0.0
90,,16.97,0.0,0.0,0.0,0.0
91,,16.97,0.0,0.0,123.02,123.02
92,,576.0,0.0,0.0,4176.0,4176.0
93,,640.0,0.0,0.0,4640.0,4640.0
94,,168.0,0.0,0.0,1218.0,1218.0
95,,24.58,0.0,0.0,178.18,178.18
96,,15.22,0.0,0.0,0.0,0.0
97,,15.22,0.0,3.03,107.31,107.31
98,,48.48,0.0,0.0,351.48,351.48
99,,0.0,0.0,0.0,0.0,979.75
100,,0.0,0.0,0.0,0.0,358.0
101,,0.0,0.0,0.0,0.0,3789.05
102,,0.0,0.0,0.0,0.0,-669.0
103,,444.68,0.0,0.0,3446.33,3446.33
104,,48.0,0.0,0.0,8348.0,8348.0
105,,384.9,0.0,0.0,2849.4,2983.6
106,,0.0,0.0,0.0,0.0,236.5
107,,13.42,0.0,0.0,97.26,97.26
108,,72.0,0.0,0.0,522.0,522.0
109,,42.62,0.0,0.0,309.02,309.02
110,,411.6,0.0,0.0,2984.1,2984.1
111,,130.13,0.0,0.0,943.4399999999999,943.44
112,,11.7,0.0,0.0,84.79,84.79
113,,79.2,0.0,0.0,0.0,0.0
114,,79.2,0.0,0.0,574.2,574.2
115,,-96.0,0.0,0.0,-696.0,-696.0
116,,384.9,0.0,0.0,0.0,0.0
117,,384.9,0.0,0.0,1390.0,1390.0
118,,384.9,0.0,0.0,2849.4,2983.6
119,,3448.28,0.0,0.0,25000.0,25000.0
120,,368.0,0.0,0.0,2668.0,2668.0
121,,36.52,0.0,0.0,264.75,264.75
122,,384.9,0.0,0.0,0.0,0.0
123,,384.9,0.0,0.0,2849.4,2983.6
124,,1744.0,0.0,436.0,12208.0,12208.0
125,,46.36,0.0,0.0,0.0,0.0
126,,46.36,0.0,0.0,0.0,0.0
127,,46.36,0.0,0.0,336.12,336.12
128,,282.24,0.0,0.0,2046.24,2046.24
129,,852.69,0.0,0.0,6182.01,6182.01
130,,62.09,0.0,0.0,398.99,398.99
131,,52.06,0.0,0.0,319.29,319.29
132,,0.0,0.0,0.0,140.0,140.0
133,,1245.6,0.0,0.0,0.0,0.0
134,,1245.6,0.0,0.0,0.0,0.0
135,,1245.6,0.0,0.0,0.0,0.0
136,,1245.6,0.0,0.0,9895.6,9030.6
137,,384.9,0.0,0.0,2849.4,2983.6
138,,192.67,0.0,0.0,1396.8400000000001,1396.84
139,,175.41,0.0,0.0,250.0,250.0
140,,175.41,0.0,0.0,0.0,0.0
141,,175.41,0.0,0.0,1300.23,1300.23
142,,121.42,0.0,0.0,900.03,900.03
143,,195.71,0.0,0.0,1418.91,1418.91
144,,48.0,0.0,0.0,10348.0,10348.0
145,,211.2,0.0,0.0,1531.2,1531.2
146,,1200.0,0.0,0.0,0.0,0.0
147,,1200.0,0.0,0.0,8700.0,8700.0
148,,496.0,0.0,0.0,3596.0,3596.0
149,,50.34,0.0,0.0,0.0,0.0
150,,50.34,0.0,0.0,0.0,0.0
151,,50.34,0.0,0.0,0.0,0.0
152,,50.34,0.0,0.0,0.0,0.0
153,,50.34,0.0,0.0,0.0,0.0
154,,50.34,0.0,0.0,365.0,365.0
155,,55.16,0.0,0.0,0.0,0.0
156,,55.16,0.0,0.0,400.0,400.0
157,,116.84,0.0,0.0,847.12,876.33
158,,0.0,0.0,0.0,12143.76,12143.76
159,,0.0,0.0,0.0,0.0,0.0
160,,0.0,0.0,0.0,0.0,0.0
161,,0.0,0.0,0.0,0.0,539.0
162,,23.17,0.0,0.0,168.0,168.0
163,,80.89,0.0,0.0,600.0,600.0
164,,67.4,0.0,0.0,500.0,500.0
165,,13.44,0.0,0.0,100.0,100.0
166,,13.44,0.0,0.0,100.0,100.0
167,,38.3,0.0,0.0,277.7,277.7
168,,522.88,0.0,0.0,3790.88,3790.88
